var name, type , #
KeyboardEvent>>buttons,SmallInteger,91
Morph>>handleMouseEnter:>>arg>>anEvent,MouseButtonEvent,25,MouseMoveEvent,106,MouseEvent,1
Morph>>keyboardFocusChange:>>arg>>gotFocus,True,104,False,104
Morph>>addMorphBack:>>arg>>aMorph,MorphTreeMorph,5,PluggableToggleButtonMorph,3,PlainGroupboxMorph,12,DropListMorph,5,MorphDropListMorph,2,DockingBarToggleMenuItemMorph,1,AlignmentMorph,45,AlphaImageMorph,2,Morph,418,TextEntryDialogWindow,2,PluggableMorphListMorph,2,FuzzyLabelMorph,1,SVColorSelectorMorph,4,LabelMorph,3398,IconicListItem,33,PluggableSliderMorph,4,EmbeddedMenuMorph,5,TabGroupMorph,1,ToolDockingBarMorph,1,PluggableTextMorph,4,TabManagerMorph,1,QuestionDialogWindow,1,LazyMorphTreeMorph,1,PaginatedMorphTreeMorph,3,ColorPresenterMorph,2,PluggableButtonMorph,252,GroupboxMorph,12,EditableDropListMorph,1,CheckboxMorph,11,HSVAColorSelectorMorph,2,PluggableIconListMorph,2,PluggableDialogWindow,1,PanelMorph,142,JobProgressBarMorph,2,TextMorphForFieldView,5,ImageMorph,196,MultistateButtonMorph,182,HColorSelectorMorph,4,SeparatorMorph,10,ControlButtonMorph,8,JobProgressMorph,1,TreeListMorph,3,ProgressBarMorph,1,PluggableListMorph,4,PluggableTextFieldMorph,16,HSVColorSelectorMorph,3,ToggleMenuItemMorph,171,AColorSelectorMorph,5,StringMorph,105,EmbossedStringMorph,1,ExpanderMorph,2,ColorChooserMorph,1,TextMorph,24
HandMorph>>processEventsFromQueue:>>temp>>hadAny,True,684,False,67938
HandMorph>>fullDrawOn:>>16>>arg>>m,QuestionDialogWindow,2,PluggableDialogWindow,25,TextEntryDialogWindow,7
HandMorph>>removeHaloFromClick:on:>>arg>>aMorph,TextEntryDialogWindow,3,PluggableDialogWindow,5,TextMorphForFieldView,1,PluggableButtonMorph,2,QuestionDialogWindow,2
Morph>>privateBounds:>>arg>>boundsRect,Rectangle,94648
HandMorph>>updateCacheCanvas:>>temp>>subBnds,Rectangle,34
MorphicEventDispatcher>>dispatchMouseDown:with:>>temp>>morphs,Array,79
HandMorph>>grabMorph:from:>>temp>>offset,Point,4
Morph>>privateAddAllMorphs:atIndex:>>6>>arg>>m,ControlButtonMorph,12,TabLabelMorph,27,IndentingListItemMorph,621,MorphTreeColumnButton,30,PluggableTextFieldMorph,36,MorphTreeResizerMorph,18,IconicButton,87,LabelMorph,33,StringMorph,73926,Morph,14115
KeyboardEvent>>wasHandled,False,91
HandMorph>>dropMorph:event:>>arg>>aMorph,QuestionDialogWindow,1,PluggableDialogWindow,1,TextEntryDialogWindow,2
HandMorph>>addMouseListener:>>arg>>anObject,StandardWindow,1
MorphExtension>>balloonText,ByteString,864,UndefinedObject,41832
Morph>>allMorphsDo:>>1>>arg>>m,DropListMorph,47,TextMorph,95,MorphTreePager,3,EditableDropListMorph,2,TextMorphForFieldView,3112,IconicButton,15,LazyMorphTreeNodeMorph,23974,TabBarMorph,1,HColorSelectorMorph,12,SeparatorMorph,47,ScrollBar,73,LazyMorphTreeMorph,2,HSVColorSelectorMorph,9,PluggableSliderMorph,44,JobProgressBarMorph,1,Morph,5488,TransformMorph,3120,TransformWithLayoutMorph,8,GroupboxMorph,36,PluggableIconListMorph,6,ToolDockingBarMorph,2,JobProgressMorph,1,TextMorphForEditView,9,PluggableMorphListMorph,22,FuzzyLabelMorph,20,LazyMorphListMorph,28,ProgressBarMorph,1,LazyListMorph,10,ExpanderTitleMorph,40,WindowEdgeGripMorph,288,DockingBarToggleMenuItemMorph,2,CheckboxMorph,1012,PluggableTextMorph,9,PaginatedMorphTreeMorph,9,PluggableListMorph,10,CheckboxButtonMorph,1012,IndentingListItemMorph,620,MorphTreeResizerMorph,9,MultistateButtonMorph,84,MorphDropListMorph,22,IconicListItem,54,PluggableTextFieldMorph,3065,TabLabelMorph,3,ControlButtonMorph,117,MorphTreeChunkPager,3,TreeListMorph,8,StringMorph,53298,LabelMorph,1867,PanelMorph,850,TabGroupMorph,3,MorphTreeTransformMorph,27,TopLeftGripMorph,72,PluggableToggleButtonMorph,3,PluggableButtonMorph,260,AlphaImageMorph,175,EmbeddedMenuMorph,8,ImageMorph,332,GeneralScrollBar,4,ColorPresenterMorph,23,ToggleMenuItemMorph,318,MorphTreeNodeMorph,54232,GeneralScrollPane,8,SVColorSelectorMorph,12,TopRightGripMorph,72,PlainGroupboxMorph,56,BorderedMorph,396,ExpanderMorph,40,BottomLeftGripMorph,72,HSVAColorSelectorMorph,6,BottomRightGripMorph,72,AlignmentMorph,526,EmbossedStringMorph,20,MorphTreeColumnButton,16,MorphTreeMorph,16,BracketMorph,122,TabManagerMorph,1,TabSelectorMorph,3,AColorSelectorMorph,49,ColorChooserMorph,20
MorphExtension>>borderStyle,DashedBorder,1,RaisedBorder,91,SimpleBorder,146804,Pharo3TabPanelBorder,7,InsetBorder,12524
PasteUpMorph>>repelsMorph:event:>>arg>>aMorph,QuestionDialogWindow,1,PluggableDialogWindow,1,TextEntryDialogWindow,2
HandMorph>>sendKeyboardEvent:>>arg>>anEvent,KeyboardEvent,91
Morph>>handlesMouseOverDragging:>>arg>>evt,MouseButtonEvent,22,MouseMoveEvent,3,MouseEvent,1
WorldState>>runLocalStepMethodsIn:>>temp>>now,SmallInteger,67938
KeyboardEvent>>setType:buttons:position:keyValue:charCode:hand:stamp:>>arg>>anInt,SmallInteger,91
WindowEvent>>action:>>arg>>aValue,SmallInteger,1
